,stock,entry_time,entry_price,exit_time,exit_price,pnl
2015-03-18,2313,2015-03-18,31.2,2015-03-31,35.0,0.12179487179487182
2015-03-19,12,2015-03-19,50.8,2015-03-27,54.1,0.06496062992125994
2015-03-25,941,2015-03-25,100.6,2015-04-15,107.1,0.06461232604373758
2015-03-25,19,2015-03-25,101.6,2015-04-01,105.2,0.035433070866141815
2015-03-25,1177,2015-03-25,7.45,2015-04-02,8.0,0.07382550335570467
2015-03-26,17,2015-03-26,8.86,2015-04-20,9.55,0.07787810383747193
2015-03-27,2319,2015-03-27,38.7,2015-04-02,40.2,0.03875968992248062
2015-03-30,1398,2015-03-30,5.61,2015-04-15,6.72,0.1978609625668448
2015-03-31,939,2015-03-31,6.54,2015-04-15,7.5,0.14678899082568805
2015-03-31,3328,2015-03-31,6.68,2015-04-15,7.8,0.16766467065868265
2015-03-31,2018,2015-03-31,49.5,2015-04-13,53.35,0.0777777777777778
2015-03-31,388,2015-03-31,195.0,2015-04-13,251.0,0.28717948717948716
2015-03-31,386,2015-03-31,6.21,2015-04-15,6.68,0.07568438003220608
2015-04-08,2382,2015-04-08,15.5,2015-04-16,17.3,0.11612903225806456
2015-04-14,669,2015-04-14,26.4,2015-04-20,26.5,0.0037878787878788418
2015-04-16,1109,2015-04-16,24.3,2015-05-04,28.65,0.17901234567901225
2015-04-17,151,2015-04-17,8.55,2015-04-28,8.7,0.01754385964912264
2015-04-20,941,2015-04-20,108.0,2015-04-23,115.6,0.07037037037037032
2015-04-21,27,2015-04-21,38.2,2015-05-27,39.3,0.028795811518324457
2015-04-22,267,2015-04-22,14.68,2015-05-04,15.78,0.07493188010899181
2015-04-22,1177,2015-04-22,9.37,2015-07-15,8.93,-0.04695837780149408
2015-04-22,1038,2015-04-22,66.6,2015-05-20,64.05,-0.03828828828828825
2015-04-22,101,2015-04-22,23.85,2015-05-05,25.5,0.06918238993710686
2015-04-23,2319,2015-04-23,42.7,2015-05-08,41.5,-0.028103044496487185
2015-04-23,2388,2015-04-23,30.55,2015-05-04,30.6,0.0016366612111293195
2015-04-24,2018,2015-04-24,49.2,2015-05-08,42.6,-0.13414634146341464
