,stock,entry_time,entry_price,exit_time,exit_price,pnl
2018-04-13,3988,2018-04-13,4.26,2018-04-26,4.17,-0.02112676056338025
2018-04-13,83,2018-04-13,13.2,2018-05-04,13.06,-0.010606060606060515
2018-04-13,27,2018-04-13,71.8,2018-05-04,69.7,-0.029247910863509672
2018-04-16,1,2018-04-16,92.85,2018-07-12,83.5,-0.10070005385029612
2018-04-19,16,2018-04-19,125.0,2018-05-17,130.0,0.04
2018-04-20,688,2018-04-20,26.5,2018-05-07,26.0,-0.018867924528301886
2018-04-20,1044,2018-04-20,75.6,2018-05-16,70.75,-0.06415343915343909
2018-04-20,3328,2018-04-20,6.26,2018-05-03,6.25,-0.0015974440894568351
2018-04-20,6,2018-04-20,59.3,2018-07-12,57.3,-0.03372681281618887
2018-04-24,388,2018-04-24,258.8,2018-06-11,259.8,0.0038639876352395673
2018-04-25,1177,2018-04-25,16.06,2018-04-27,16.66,0.0373599003735991
2018-04-25,19,2018-04-25,76.5,2018-05-04,76.2,-0.003921568627450943
2018-04-26,823,2018-04-26,66.6,2018-05-03,67.8,0.018018018018018063
2018-04-27,288,2018-04-27,8.09,2018-05-04,8.09,0.0
2018-04-27,1299,2018-04-27,68.6,2018-05-03,69.3,0.010204081632653104
2018-04-30,857,2018-04-30,5.8,2018-05-14,6.14,0.05862068965517239
2018-04-30,1997,2018-04-30,57.4,2018-05-03,57.3,-0.0017421602787456693
2018-05-02,12,2018-05-02,49.6,2018-05-16,51.5,0.0383064516129032
2018-05-03,2319,2018-05-03,26.45,2018-05-16,26.7,0.00945179584120983
2018-05-07,2318,2018-05-07,75.45,2018-09-03,75.9,0.005964214711729659
2018-05-07,151,2018-05-07,6.94,2018-05-31,7.77,0.1195965417867434
2018-05-07,1997,2018-05-07,58.2,2018-05-16,63.0,0.08247422680412365
2018-05-08,3328,2018-05-08,6.18,2018-05-16,6.36,0.029126213592233108
2018-05-08,267,2018-05-08,11.64,2018-05-11,11.98,0.029209621993127134
2018-05-09,1299,2018-05-09,70.25,2018-05-16,72.4,0.030604982206405774
2018-05-09,1398,2018-05-09,6.73,2018-05-16,6.85,0.017830609212481308
2018-05-09,11,2018-05-09,197.1,2018-05-16,199.2,0.010654490106544873
2018-05-09,1113,2018-05-09,67.2,2018-05-16,68.4,0.017857142857142898
2018-05-11,5,2018-05-11,77.9,2018-05-16,77.95,0.0006418485237483588
2018-05-11,941,2018-05-11,74.2,2018-08-14,71.1,-0.04177897574124
2018-05-14,1928,2018-05-14,47.9,2018-05-30,47.5,-0.008350730688935253
2018-05-14,823,2018-05-14,67.55,2018-05-16,67.7,0.002220577350111113
2018-05-14,3988,2018-05-14,4.28,2018-05-16,4.23,-0.011682242990654164
2018-05-15,939,2018-05-15,8.43,2018-06-11,8.09,-0.04033214709371291
2018-05-15,17,2018-05-15,12.1,2018-06-11,12.1,0.0
2018-05-18,823,2018-05-18,67.35,2018-05-28,70.5,0.04677060133630298
2018-05-21,19,2018-05-21,79.3,2018-06-05,81.0,0.02143757881462803
2018-05-21,1109,2018-05-21,31.1,2018-06-07,31.0,-0.0032154340836013317
2018-05-21,688,2018-05-21,27.2,2018-06-11,28.55,0.04963235294117652
2018-05-23,1997,2018-05-23,59.2,2018-05-31,60.7,0.025337837837837836
2018-05-23,1113,2018-05-23,68.15,2018-06-22,64.75,-0.04988994864270001
2018-05-23,27,2018-05-23,69.25,2018-05-30,68.35,-0.012996389891696833
2018-05-23,2,2018-05-23,82.85,2018-06-11,81.8,-0.012673506336753135
2018-05-24,1177,2018-05-24,18.5,2018-05-30,18.7,0.010810810810810773
2018-05-25,386,2018-05-25,7.4,2018-09-17,7.43,0.0040540540540539675
2018-05-25,3988,2018-05-25,4.15,2018-06-11,4.21,0.01445783132530111
2018-05-25,101,2018-05-25,18.48,2018-08-31,15.54,-0.15909090909090914
2018-05-28,1088,2018-05-28,20.15,2018-06-06,21.1,0.04714640198511181
2018-05-29,857,2018-05-29,6.39,2018-08-29,5.98,-0.06416275430359926
2018-05-31,883,2018-05-31,13.26,2018-07-04,13.26,0.0
2018-06-01,1398,2018-06-01,6.5,2018-06-11,6.54,0.006153846153846159
2018-06-01,83,2018-06-01,13.48,2018-06-07,14.18,0.051928783382789265
2018-06-01,5,2018-06-01,75.45,2018-12-06,65.5,-0.13187541418157725
2018-06-01,267,2018-06-01,11.56,2018-06-11,11.88,0.027681660899654004
2018-06-01,3328,2018-06-01,6.2,2018-06-06,6.26,0.009677419354838646
2018-06-04,27,2018-06-04,67.15,2018-07-27,64.1,-0.04542069992554
2018-06-04,66,2018-06-04,44.25,2018-08-02,43.3,-0.02146892655367238
2018-06-04,2007,2018-06-04,16.02,2018-06-12,16.66,0.03995006242197257
2018-06-05,2628,2018-06-05,22.6,2018-06-11,22.7,0.004424778761061852
2018-06-05,16,2018-06-05,127.9,2018-08-01,122.0,-0.046129788897576275
2018-06-07,151,2018-06-07,8.1,2019-01-14,6.09,-0.24814814814814815
2018-06-08,669,2018-06-08,47.15,2018-07-11,43.7,-0.07317073170731699
2018-06-11,1177,2018-06-11,12.5,2018-11-06,8.01,-0.3592
2018-06-12,1928,2018-06-12,45.8,2018-07-30,40.45,-0.11681222707423569
2018-06-13,2319,2018-06-13,29.4,2018-07-18,26.3,-0.10544217687074824
2018-06-21,388,2018-06-21,248.2,2018-08-31,225.8,-0.09024979854955673
2018-06-21,83,2018-06-21,13.2,2018-07-12,12.58,-0.04696969696969691
2018-06-21,1997,2018-06-21,60.25,2018-11-06,47.95,-0.20414937759336094
2018-06-21,3328,2018-06-21,6.19,2018-09-26,5.77,-0.06785137318255263
2018-06-21,1044,2018-06-21,75.55,2018-06-26,77.35,0.02382528127068163
2018-06-21,3,2018-06-21,14.9,2018-09-04,16.0,0.07382550335570467
