,0
1,-0.46224024328433866
2,-0.030605871330418526
3,-0.058823529411764726
5,-0.46125461254612543
6,-0.22692889561270793
11,-0.31928020565552695
12,-0.3572796934865901
16,-0.23404255319148934
17,-0.2748735244519393
19,-0.21939477303989002
27,-0.2682724252491695
66,-0.14956331877729245
83,-0.3753581661891117
101,-0.15772870662460567
151,-0.15863141524105748
175,-0.563436928702011
267,-0.2922535211267606
288,-0.25333333333333335
386,-0.37055837563451777
388,-0.08633093525179854
669,-0.041069723018147056
688,-0.06653992395437262
700,-0.1819052178075634
762,-0.5588235294117647
823,-0.02800546448087428
857,-0.5591397849462366
883,-0.3472222222222222
939,-0.1657681940700808
941,-0.3438485804416404
1038,-0.2843283582089552
1044,-0.33333333333333326
1088,-0.3649289099526067
1093,-0.04756097560975606
1109,0.3726315789473685
1113,-0.4027576197387519
1177,-0.2449275362318841
1299,-0.02365114560236524
1398,-0.21296296296296308
1928,-0.25189873417721514
1997,-0.36545801526717553
2007,-0.442998760842627
2018,-0.729973297730307
2313,0.016276041666666668
2318,-0.08823529411764706
2319,0.08695652173913043
2382,-0.053162236480293286
2388,-0.4335839598997493
2628,-0.4087301587301587
3328,-0.2203389830508476
3988,-0.26275510204081626
