,0
1,-0.5971905846621108
2,0.153903345724907
3,-0.18918918918918923
5,-0.40810810810810816
6,-0.31455399061032857
11,0.022393822393822437
12,-0.38888888888888895
16,-0.14936708860759496
17,-0.03695408734602464
19,-0.43588469184890655
27,0.028004667444573993
66,0.2210031347962384
83,-0.310126582278481
101,-0.26849315068493146
151,-0.4611553784860557
175,3.89344262295082
267,-0.4088235294117648
288,0.5135135135135134
386,-0.4076433121019108
388,0.32138728323699417
669,0.9960238568588471
688,-0.01799999999999997
700,2.030141843971631
762,-0.5480225988700564
823,0.44760935910478145
857,-0.716915995397008
883,-0.2919020715630885
939,-0.04769230769230763
941,-0.43107221006564556
1038,-0.15655233069481087
1044,-0.29739776951672864
1088,-0.4211663066954643
1093,1.3383233532934131
1109,0.4885844748858449
1113,-0.4446693657219973
1177,0.48857142857142855
1299,0.5028441410693969
1398,-0.11611785095320623
1928,-0.2161803713527852
1997,-0.335
2007,1.7408536585365857
2018,-0.01820388349514563
2313,2.0788954635108476
2318,-0.06738868832731643
2319,-0.21996879875195
2382,6.825757575757576
2388,-0.13243761996161224
2628,-0.5254777070063694
3328,-0.37329700272479566
3988,-0.34762979683972905
