,0
1,-0.46950000000000003
2,0.47668886774500474
3,-0.2668024439918534
5,-0.5092436974789917
6,0.20094007050528803
11,0.16140350877192985
12,-0.42747440273037557
16,-0.1317829457364341
17,-0.45707070707070707
19,-0.4038865546218487
27,12.680124223602483
66,0.45335820895522394
83,-0.4232804232804232
101,-0.4840579710144928
151,-0.010968921389396638
175,1.7322654462242562
267,-0.6078048780487806
288,0.00900900900900895
386,-0.4472511144130758
388,0.6517341040462427
669,6.548872180451128
688,0.4878787878787879
700,9.172619047619047
762,-0.53125
823,2.626401630988787
857,-0.7351991388589881
883,-0.3856209150326798
939,-0.0606980273141122
941,-0.2812715964063579
1038,0.6144781144781146
1044,-0.01733102253032929
1088,-0.6510416666666667
1093,2.5339366515837103
1109,0.8692660550458714
1113,-0.4446693657219973
1177,3.168
1299,1.865509761388286
1398,-0.19937205651491371
1928,1.969849246231156
1997,-0.335
2007,2.1
2018,2.1651017214397497
2313,6.651960784313726
2318,0.14814814814814814
2319,-0.08256880733944955
2382,85.08333333333331
2388,0.29142857142857154
2628,-0.6089238845144358
3328,-0.4917127071823205
3988,-0.31353919239904987
