,stock,entry_time,entry_price,exit_time,exit_price,pnl
2010-03-22,6,2010-03-22,45.3,2010-04-28,47.05,0.03863134657836645
2010-03-22,1038,2010-03-22,30.2,2010-05-25,28.35,-0.061258278145695295
2010-03-24,83,2010-03-24,14.88,2010-07-20,14.64,-0.01612903225806453
2010-03-24,2628,2010-03-24,36.4,2010-04-09,37.95,0.0425824175824177
2010-03-25,1044,2010-03-25,56.0,2010-03-29,57.35,0.024107142857142883
2010-03-25,823,2010-03-25,19.1,2010-03-31,19.1,0.0
2010-03-26,101,2010-03-26,30.4,2010-03-30,31.35,0.0312500000000001
2010-03-29,1109,2010-03-29,15.98,2010-04-01,17.0,0.06382978723404252
2010-03-29,1398,2010-03-29,5.75,2010-04-13,6.26,0.08869565217391301
2010-03-31,939,2010-03-31,6.3,2010-04-13,6.77,0.07460317460317456
2010-03-31,762,2010-03-31,8.7,2010-04-13,9.09,0.04482758620689662
2010-04-01,2382,2010-04-01,1.78,2010-04-08,2.04,0.14606741573033707
2010-04-08,2319,2010-04-08,24.6,2010-04-13,26.4,0.07317073170731696
2010-04-08,883,2010-04-08,13.78,2010-05-06,12.9,-0.06386066763425247
2010-04-12,2313,2010-04-12,11.1,2010-07-15,9.16,-0.17477477477477474
2010-04-12,1044,2010-04-12,58.9,2010-06-15,59.2,0.0050933786078099196
2010-04-16,2018,2010-04-16,13.46,2010-05-17,11.7,-0.13075780089153058
2010-04-21,19,2010-04-21,95.8,2010-06-29,90.25,-0.05793319415448849
2010-04-21,386,2010-04-21,6.51,2010-06-23,6.38,-0.019969278033794148
2010-04-21,688,2010-04-21,15.48,2010-05-26,15.0,-0.031007751937984523
2010-04-21,941,2010-04-21,79.2,2010-05-12,75.0,-0.053030303030303066
2010-04-22,669,2010-04-22,7.2,2010-04-28,8.7,0.2083333333333332
2010-04-22,3988,2010-04-22,4.0,2010-06-25,4.06,0.014999999999999902
2010-04-23,2319,2010-04-23,25.1,2010-04-29,24.4,-0.027888446215139553
2010-04-26,175,2010-04-26,3.61,2010-08-02,2.94,-0.185595567867036
2010-04-26,11,2010-04-26,107.6,2010-06-01,103.3,-0.039962825278810385
2010-04-27,388,2010-04-27,131.4,2010-06-30,123.9,-0.05707762557077625
2010-04-27,2,2010-04-27,56.65,2010-05-25,55.4,-0.02206531332744925
2010-04-27,2007,2010-04-27,2.4,2010-05-28,2.25,-0.062499999999999965
2010-04-27,101,2010-04-27,29.95,2010-05-17,27.65,-0.07679465776293826
