,1Y,2Y,5Y,10Y
1,-0.018354200738662785,-0.03238307939258922,-0.26942320936106845,-0.0018392320704033738
2,-0.09047235163570688,-0.06900207399168534,-0.03212805599672974,0.27912766741774586
3,-0.02858555188784906,0.06699663878921447,0.28009795308796614,0.4647877088253227
5,-0.04445229533760642,-0.176104658951864,0.07162890788029652,0.3665628725621526
6,0.057019450599488763,0.02846900305389899,0.3066658662020447,1.1357256950873205
11,-0.1173659400665904,-0.12819121910863263,0.20264274276615657,0.43185882401677866
12,0.02251655629139071,0.09627863606200648,0.021841625651908503,0.16619856719731985
16,-0.08207362552901476,-0.1068677898298036,-0.20283460579076817,0.23535353520111646
17,-0.2304687500000001,-0.12029424798330846,-0.1985267659703358,-0.6244795275818339
19,-0.21228462680836235,-0.20106141366526187,-0.2825593049923252,-0.37079335796956925
27,0.18420926151222217,-0.11681048126871096,0.4705778374244536,5.99346086907655
66,0.1557661348148911,0.23883578772294478,0.5086123722821543,1.56179175434026
83,-0.08737739542768941,0.11012837013995957,-0.16181200634344195,-0.19351555016908273
101,0.20241241268701682,0.2208883470781262,0.09490921712928646,-0.2075343510526727
151,0.11101046908742962,0.034119199273840994,-0.08965266967846142,0.2531466929742341
175,-0.1197533889920116,-0.20196068498173447,0.02394716863181401,-0.09003431708893828
267,-0.16227086362767773,-0.07179973634707604,-0.12657987469679854,-0.21377782256962952
288,0.2280155407075961,0.4371177683516496,0.2881697339476368,0.09284346914232211
386,-0.2475409836065573,-0.10334160109476609,-0.10788820003213584,-0.027305884121526125
388,0.0987254032047602,-0.0067457876302129405,0.19790270058931547,0.024377389875614552
669,0.3591718407122464,0.6164358275149522,0.7724277027226678,1.1210640085098218
688,0.10135135119238514,0.16727143459009275,0.611805985059175,1.3933224360991847
700,0.0466127870838442,-0.05856929430588953,0.6644398115715147,2.2713301434979227
762,-0.24866693195384004,-0.24059315125614666,-0.30590232320615207,-0.5661960104299726
823,-0.14194029767833294,-0.09667430155294421,0.06859367279722206,0.48050280551644486
857,0.19178015119244107,0.13826000906813696,-0.20788078784580488,-0.05805000733007626
883,0.02143046830677009,0.1841562758105011,0.3577018027559238,0.13207305171466754
939,-0.058414012533856696,-0.06001311729239345,0.24703065725537643,-0.052402797310092675
941,-0.193868390382266,-0.2865688454409041,-0.24069116674847124,-0.007856830155067884
1038,-0.04707838287174093,-0.09799390628004867,0.07631601758522288,0.09881563016972472
1044,0.10315176868941855,0.07508565653797228,0.028948255470354622,0.5958489861872167
1088,-0.029249685651055235,0.28549106391421275,0.29131117664877126,0.9990511668554289
1093,0.5473703309772102,0.2777923248742129,1.2555862602926697,0.38303100509044863
1109,0.19530953128103112,0.5589797103828509,0.974907120030523,1.9092721179042909
1113,0.0240830976747457,0.023674763629216278,0.3001564413629785,0.3001564413629785
1177,0.6442697795455599,0.16418888578871593,1.2834709061896876,1.9982578613300839
1299,0.16911506497445195,0.20925744348288355,0.1631886103141027,1.1169720674289407
1398,-0.0033444816053512794,0.05600019370003495,0.6821049688090728,0.5630206640162048
1928,0.06311478531998937,0.048882608254900095,0.4334828435974094,0.7807940679069316
1997,-0.237353242785449,-0.24609553582580224,-0.1917482267698427,-0.1917482267698427
2007,-0.025818054877141616,-0.19325133382733506,0.4603065138018454,1.9274680554223065
2018,0.18008681941047744,-0.31982544656474254,0.48786817235097657,1.9731107376886032
2313,-0.04518869389071345,-0.04591732191093223,0.6033953257642048,0.07552980729533765
2318,0.056981791252909364,0.1029923808801676,0.0064430140656071,0.01860668370214924
2319,-0.024706642677386315,0.28264047709334505,-0.4639522307621301,-0.21159302305555683
2382,0.07163990624662198,-0.23017755327943357,0.3465028455005017,2.43256727506266
2388,-0.11623921332756437,-0.22145177849736986,-0.1636643999646693,0.5670755820112905
2628,0.02673796791443861,-0.19505792978802694,-0.42825340551620217,-0.3407646148937662
3328,-0.16400937394352166,-0.19957967824938905,-0.10908013875778766,-0.4703897605276899
3988,-0.050460160268747445,-0.08249690627802575,-0.38216504585871636,-0.5851042541683669
