,date_time,open,high,low,close,volume,Real Body,Up Shadow,Down Shadow,Trading Range,Exhaustion Gap,Buy,Sell
0,2015-01-02,43.6,44.0,43.2,43.95,14715401,0.3500000000000014,0.04999999999999716,0.3999999999999986,0.7999999999999972,False,False,False
1,2015-01-05,44.05,44.15,43.05,43.15,17019881,0.8999999999999986,0.10000000000000142,0.10000000000000142,1.1000000000000014,False,False,False
2,2015-01-06,42.6,42.95,41.8,42.0,30608916,0.6000000000000014,0.3500000000000014,0.20000000000000284,1.1500000000000057,False,False,False
3,2015-01-07,41.4,42.2,40.7,42.05,42739144,0.6499999999999986,0.15000000000000568,0.6999999999999957,1.5,False,False,False
4,2015-01-08,42.5,42.8,42.1,42.7,20412427,0.20000000000000284,0.09999999999999432,0.3999999999999986,0.6999999999999957,False,False,False
5,2015-01-09,43.45,43.45,42.4,42.95,16181389,0.5,0.0,0.5500000000000043,1.0500000000000043,False,False,False
6,2015-01-12,42.8,43.5,42.55,43.0,10693790,0.20000000000000284,0.5,0.25,0.9500000000000028,False,False,False
7,2015-01-13,42.7,44.0,42.7,43.9,20216954,1.1999999999999957,0.10000000000000142,0.0,1.2999999999999972,False,False,False
8,2015-01-14,44.1,44.4,43.8,44.0,29695443,0.10000000000000142,0.29999999999999716,0.20000000000000284,0.6000000000000014,False,False,False
9,2015-01-15,44.3,45.0,44.1,45.0,31115684,0.7000000000000028,0.0,0.19999999999999574,0.8999999999999986,False,False,False
10,2015-01-16,44.35,44.95,44.25,44.65,26996111,0.29999999999999716,0.30000000000000426,0.10000000000000142,0.7000000000000028,False,False,False
11,2015-01-19,44.2,45.25,44.2,44.85,33957315,0.6499999999999986,0.3999999999999986,0.0,1.0499999999999972,False,False,False
12,2015-01-20,44.65,45.1,44.3,44.6,22157844,0.04999999999999716,0.45000000000000284,0.30000000000000426,0.8000000000000043,False,False,False
13,2015-01-21,44.8,44.95,44.45,44.8,15741239,0.0,0.15000000000000568,0.3499999999999943,0.5,False,False,False
14,2015-01-22,44.6,45.15,44.45,45.05,18109044,0.44999999999999574,0.10000000000000142,0.14999999999999858,0.6999999999999957,False,False,False
15,2015-01-23,45.35,45.5,44.85,44.95,36350228,0.3999999999999986,0.14999999999999858,0.10000000000000142,0.6499999999999986,False,False,False
16,2015-01-26,44.5,45.45,44.4,45.4,25233565,0.8999999999999986,0.05000000000000426,0.10000000000000142,1.0500000000000043,False,False,False
17,2015-01-27,45.3,45.8,44.7,45.75,21142826,0.45000000000000284,0.04999999999999716,0.5999999999999943,1.0999999999999943,False,False,False
18,2015-01-28,45.8,46.45,45.25,46.35,31083368,0.5500000000000043,0.10000000000000142,0.5499999999999972,1.2000000000000028,False,False,False
19,2015-01-29,45.8,46.1,45.05,45.1,26128630,0.6999999999999957,0.30000000000000426,0.05000000000000426,1.0500000000000043,False,False,False
20,2015-01-30,45.9,45.9,45.2,45.25,18967397,0.6499999999999986,0.0,0.04999999999999716,0.6999999999999957,False,False,False
21,2015-02-02,45.05,45.45,45.0,45.2,13758881,0.15000000000000568,0.25,0.04999999999999716,0.45000000000000284,False,False,False
22,2015-02-03,45.35,45.35,44.25,44.65,26843702,0.7000000000000028,0.0,0.3999999999999986,1.1000000000000014,False,False,False
23,2015-02-04,45.55,45.55,44.4,44.55,21114269,1.0,0.0,0.14999999999999858,1.1499999999999986,False,False,False
24,2015-02-05,44.9,44.95,44.2,44.5,15154805,0.3999999999999986,0.05000000000000426,0.29999999999999716,0.75,False,False,False
25,2015-02-06,44.5,44.6,44.15,44.2,16160138,0.29999999999999716,0.10000000000000142,0.05000000000000426,0.45000000000000284,False,False,False
26,2015-02-09,43.6,44.6,43.6,44.35,15511201,0.75,0.25,0.0,1.0,False,False,False
27,2015-02-10,44.1,44.45,43.7,44.2,17748733,0.10000000000000142,0.25,0.3999999999999986,0.75,False,False,False
28,2015-02-11,43.9,44.2,43.6,43.9,24007140,0.0,0.30000000000000426,0.29999999999999716,0.6000000000000014,False,False,False
29,2015-02-12,43.7,44.25,43.65,43.8,23050127,0.09999999999999432,0.45000000000000284,0.05000000000000426,0.6000000000000014,False,False,False
30,2015-02-13,43.75,44.6,43.75,44.45,17824796,0.7000000000000028,0.14999999999999858,0.0,0.8500000000000014,False,False,False
31,2015-02-16,44.9,44.95,44.45,44.5,12649670,0.3999999999999986,0.05000000000000426,0.04999999999999716,0.5,False,False,False
32,2015-02-17,44.5,44.7,44.35,44.45,15812991,0.04999999999999716,0.20000000000000284,0.10000000000000142,0.3500000000000014,False,False,False
33,2015-02-18,44.35,44.8,44.35,44.5,11911763,0.14999999999999858,0.29999999999999716,0.0,0.44999999999999574,False,False,False
34,2015-02-23,44.95,44.95,44.35,44.55,18631624,0.4000000000000057,0.0,0.19999999999999574,0.6000000000000014,False,False,False
35,2015-02-24,44.95,45.7,44.8,45.6,24394287,0.6499999999999986,0.10000000000000142,0.15000000000000568,0.9000000000000057,False,False,False
36,2015-02-25,46.0,46.35,45.3,45.7,31726461,0.29999999999999716,0.3500000000000014,0.4000000000000057,1.0500000000000043,False,False,False
37,2015-02-26,46.2,46.45,45.7,45.75,38059307,0.45000000000000284,0.25,0.04999999999999716,0.75,False,False,False
38,2015-02-27,46.4,46.45,45.5,45.65,37496455,0.75,0.05000000000000426,0.14999999999999858,0.9500000000000028,False,False,False
39,2015-03-02,46.45,47.6,46.05,47.35,46359400,0.8999999999999986,0.25,0.4000000000000057,1.5500000000000043,False,False,False
40,2015-03-03,48.15,48.7,47.8,48.35,39972255,0.20000000000000284,0.3500000000000014,0.3500000000000014,0.9000000000000057,False,False,False
41,2015-03-04,48.5,49.65,48.35,48.85,49840385,0.3500000000000014,0.7999999999999972,0.14999999999999858,1.2999999999999972,False,False,False
42,2015-03-05,47.25,48.45,47.25,47.6,40383426,0.3500000000000014,0.8500000000000014,0.0,1.2000000000000028,False,False,False
43,2015-03-06,48.55,49.1,48.25,48.55,31084268,0.0,0.5500000000000043,0.29999999999999716,0.8500000000000014,False,False,False
44,2015-03-09,48.0,48.4,48.0,48.25,21527441,0.25,0.14999999999999858,0.0,0.3999999999999986,False,False,False
45,2015-03-10,48.6,48.7,47.1,47.15,31214142,1.4500000000000028,0.10000000000000142,0.04999999999999716,1.6000000000000014,False,False,False
46,2015-03-11,47.9,47.9,46.85,47.1,23113648,0.7999999999999972,0.0,0.25,1.0499999999999972,False,False,False
47,2015-03-12,47.3,47.3,46.75,47.15,20050440,0.14999999999999858,0.0,0.3999999999999986,0.5499999999999972,False,False,False
48,2015-03-13,47.0,47.4,46.55,46.65,18862327,0.3500000000000014,0.3999999999999986,0.10000000000000142,0.8500000000000014,False,False,False
49,2015-03-16,47.1,47.4,46.7,47.3,15099283,0.19999999999999574,0.10000000000000142,0.3999999999999986,0.6999999999999957,False,False,False
50,2015-03-17,48.3,48.3,46.55,46.7,23446546,1.5999999999999943,0.0,0.15000000000000568,1.75,False,False,False
51,2015-03-18,46.35,46.9,46.35,46.75,27782740,0.3999999999999986,0.14999999999999858,0.0,0.5499999999999972,False,False,False
52,2015-03-19,47.85,48.3,47.35,48.2,33490239,0.3500000000000014,0.09999999999999432,0.5,0.9499999999999957,False,False,False
53,2015-03-20,48.7,48.7,47.8,48.0,17581889,0.7000000000000028,0.0,0.20000000000000284,0.9000000000000057,False,False,False
54,2015-03-23,48.75,48.75,47.75,47.95,11721607,0.7999999999999972,0.0,0.20000000000000284,1.0,False,False,False
55,2015-03-24,47.5,48.2,47.5,47.9,16586514,0.3999999999999986,0.30000000000000426,0.0,0.7000000000000028,False,False,False
56,2015-03-25,47.9,48.95,47.85,48.9,19882073,1.0,0.05000000000000426,0.04999999999999716,1.1000000000000014,False,False,False
57,2015-03-26,48.95,49.0,48.2,48.9,17170333,0.05000000000000426,0.04999999999999716,0.6999999999999957,0.7999999999999972,False,False,False
58,2015-03-27,49.1,49.2,48.55,48.85,14757370,0.25,0.10000000000000142,0.30000000000000426,0.6500000000000057,False,False,False
59,2015-03-30,49.45,49.45,48.7,49.25,22478949,0.20000000000000284,0.0,0.5499999999999972,0.75,False,False,False
60,2015-03-31,48.8,48.95,48.5,48.8,25800335,0.0,0.15000000000000568,0.29999999999999716,0.45000000000000284,False,False,False
61,2015-04-01,49.0,49.25,48.8,49.2,17749335,0.20000000000000284,0.04999999999999716,0.20000000000000284,0.45000000000000284,False,False,False
62,2015-04-02,49.55,49.55,48.9,49.35,14685251,0.19999999999999574,0.0,0.45000000000000284,0.6499999999999986,False,False,False
63,2015-04-08,50.0,51.85,49.45,51.75,50630176,1.75,0.10000000000000142,0.5499999999999972,2.3999999999999986,False,False,False
64,2015-04-09,54.85,58.2,53.0,53.65,64268170,1.2000000000000028,3.3500000000000014,0.6499999999999986,5.200000000000003,False,False,False
65,2015-04-10,55.0,55.0,52.5,53.75,45320380,1.25,0.0,1.25,2.5,False,False,False
66,2015-04-13,53.3,53.75,52.6,53.4,49524173,0.10000000000000142,0.3500000000000014,0.6999999999999957,1.1499999999999986,False,False,False
67,2015-04-14,54.25,54.25,53.0,53.25,32506845,1.0,0.0,0.25,1.25,False,False,False
68,2015-04-15,53.8,53.8,52.5,52.55,29316804,1.25,0.0,0.04999999999999716,1.2999999999999972,False,False,False
69,2015-04-16,52.55,52.75,52.0,52.1,33085671,0.44999999999999574,0.20000000000000284,0.10000000000000142,0.75,False,False,False
70,2015-04-17,52.7,53.5,52.3,53.25,25718399,0.5499999999999972,0.25,0.4000000000000057,1.2000000000000028,False,False,False
71,2015-04-20,53.2,53.65,51.8,51.9,24433895,1.3000000000000043,0.44999999999999574,0.10000000000000142,1.8500000000000014,False,False,False
72,2015-04-21,51.9,52.2,51.3,51.5,45220506,0.3999999999999986,0.30000000000000426,0.20000000000000284,0.9000000000000057,False,False,False
73,2015-04-22,51.5,51.55,50.65,51.05,65409252,0.45000000000000284,0.04999999999999716,0.3999999999999986,0.8999999999999986,False,False,False
74,2015-04-23,51.2,52.4,51.2,52.15,68051760,0.9499999999999957,0.25,0.0,1.1999999999999957,False,False,False
75,2015-04-24,52.9,52.95,51.25,51.85,46314224,1.0499999999999972,0.05000000000000426,0.6000000000000014,1.7000000000000028,False,False,False
76,2015-04-27,52.5,52.5,51.85,52.1,34405200,0.3999999999999986,0.0,0.25,0.6499999999999986,False,False,False
77,2015-04-28,53.0,53.05,51.8,52.2,25835925,0.7999999999999972,0.04999999999999716,0.4000000000000057,1.25,False,False,False
78,2015-04-29,52.25,52.5,51.6,51.75,26907091,0.5,0.25,0.14999999999999858,0.8999999999999986,False,False,False
79,2015-04-30,51.75,52.1,51.45,51.8,24046403,0.04999999999999716,0.30000000000000426,0.29999999999999716,0.6499999999999986,False,False,False
80,2015-05-04,52.05,52.1,50.85,51.1,30713408,0.9499999999999957,0.05000000000000426,0.25,1.25,False,False,False
81,2015-05-05,51.5,51.7,50.2,50.55,27328002,0.9500000000000028,0.20000000000000284,0.3499999999999943,1.5,False,False,False
82,2015-05-06,50.3,51.9,50.3,51.15,21777661,0.8500000000000014,0.75,0.0,1.6000000000000014,False,False,False
83,2015-05-07,51.7,52.1,51.15,51.6,24982872,0.10000000000000142,0.3999999999999986,0.45000000000000284,0.9500000000000028,False,False,False
84,2015-05-08,51.6,51.7,51.05,51.25,20645977,0.3500000000000014,0.10000000000000142,0.20000000000000284,0.6500000000000057,False,False,False
85,2015-05-11,51.8,51.8,51.1,51.45,15347405,0.3499999999999943,0.0,0.3500000000000014,0.6999999999999957,False,False,False
86,2015-05-12,51.45,51.7,50.65,50.7,19103152,0.75,0.25,0.05000000000000426,1.0500000000000043,False,False,False
87,2015-05-13,50.7,50.85,50.15,50.45,21316710,0.25,0.14999999999999858,0.30000000000000426,0.7000000000000028,False,False,False
88,2015-05-14,51.0,51.0,50.05,50.35,14216581,0.6499999999999986,0.0,0.30000000000000426,0.9500000000000028,False,False,False
89,2015-05-15,51.0,52.4,50.7,52.35,28499562,1.3500000000000014,0.04999999999999716,0.29999999999999716,1.6999999999999957,False,False,False
90,2015-05-18,52.7,52.95,52.05,52.45,32643655,0.25,0.25,0.4000000000000057,0.9000000000000057,False,False,False
91,2015-05-19,52.1,52.45,51.75,52.0,16108492,0.10000000000000142,0.3500000000000014,0.25,0.7000000000000028,False,False,False
92,2015-05-20,51.4,51.65,50.65,51.2,23350528,0.19999999999999574,0.25,0.5500000000000043,1.0,False,False,False
93,2015-05-21,50.7,51.4,50.65,51.0,19649236,0.29999999999999716,0.3999999999999986,0.05000000000000426,0.75,False,False,False
94,2015-05-22,51.3,52.1,51.2,51.65,15092207,0.3500000000000014,0.45000000000000284,0.09999999999999432,0.8999999999999986,False,False,False
95,2015-05-26,52.25,53.6,52.05,53.15,29844980,0.8999999999999986,0.45000000000000284,0.20000000000000284,1.5500000000000043,False,False,False
96,2015-05-27,53.5,53.5,52.15,52.3,24477116,1.2000000000000028,0.0,0.14999999999999858,1.3500000000000014,False,False,False
