,date_time,open,high,low,close,volume,SD,sdClosingPrice,multiplier,color,bullish_engulfing,bearish_engulfing,bullish_harami,bearish_harami,buy_sell
0,2019-01-02,75.25,75.45,74.1,74.4,5818879,,,0.6,yellow,False,False,False,False,
1,2019-01-03,74.0,74.45,73.15,73.35,6464132,,74.4,0.6,yellow,False,False,False,False,
2,2019-01-04,72.8,75.25,72.8,75.25,6218655,,73.35,0.6,yellow,True,False,False,False,
3,2019-01-07,76.8,76.95,75.4,75.8,4371572,,75.25,0.6,yellow,False,False,False,False,
4,2019-01-08,76.5,77.8,75.95,77.35,7733797,,75.8,0.6,yellow,False,False,False,False,
5,2019-01-09,78.0,78.0,77.25,77.5,7793080,,77.35,0.6,yellow,False,False,False,False,
6,2019-01-10,77.8,77.8,76.3,77.1,4418674,,77.5,0.6,yellow,False,False,False,False,
7,2019-01-11,78.0,78.0,77.25,77.85,3502188,,77.1,0.6,yellow,False,False,False,False,
8,2019-01-14,78.0,78.2,76.0,76.45,4166632,,77.85,0.6,yellow,False,False,False,False,
9,2019-01-15,77.6,78.3,77.25,78.25,5287358,,76.45,0.6,yellow,False,False,False,False,
10,2019-01-16,78.2,79.65,77.75,78.55,4603116,,78.25,0.6,yellow,False,False,False,False,
11,2019-01-17,79.5,79.6,78.05,78.25,2785555,,78.55,0.6,yellow,False,False,False,False,
12,2019-01-18,79.6,79.6,78.65,79.2,3788799,,78.25,0.6,yellow,False,False,False,False,
13,2019-01-21,79.3,80.05,78.95,79.5,2851388,,79.2,0.6,yellow,False,False,True,False,
14,2019-01-22,78.9,79.4,77.8,78.2,2930075,,79.5,0.6,yellow,False,False,False,False,
15,2019-01-23,78.2,79.9,78.15,79.0,4075893,,78.2,0.6,yellow,False,False,False,False,
16,2019-01-24,79.25,80.0,79.05,80.0,3841030,,79.0,0.6,yellow,False,False,False,False,
17,2019-01-25,80.1,81.0,80.0,81.0,4494369,,80.0,0.6,yellow,False,False,False,False,
18,2019-01-28,80.5,80.55,79.2,79.4,4715496,,81.0,0.6,yellow,False,False,False,False,
19,2019-01-29,78.75,79.85,78.55,78.9,6204034,,79.4,0.6,yellow,False,False,False,False,
20,2019-01-30,78.7,79.45,78.4,79.1,5630394,,78.9,0.6,yellow,False,False,False,False,
21,2019-01-31,79.55,79.8,78.6,78.95,7222793,,79.1,0.6,yellow,False,False,False,False,
22,2019-02-01,79.1,79.9,78.85,79.2,5534921,,78.95,0.6,yellow,False,False,True,False,
23,2019-02-04,78.6,79.45,78.3,79.0,3060455,,79.2,0.6,yellow,False,False,False,False,
24,2019-02-08,79.5,79.5,78.45,78.9,4989090,,79.0,0.6,yellow,False,False,False,False,
25,2019-02-11,78.4,80.65,78.35,80.65,6655773,,78.9,0.6,yellow,True,False,False,False,
26,2019-02-12,79.5,79.8,78.8,79.35,7567807,,80.65,0.6,yellow,False,False,False,True,
27,2019-02-13,78.8,80.3,78.5,80.25,6566280,,79.35,0.6,yellow,True,False,False,False,
28,2019-02-14,80.5,81.5,80.35,81.0,5849384,,80.25,0.6,yellow,False,False,False,False,
29,2019-02-15,80.4,80.5,79.2,79.7,4677013,,81.0,0.6,yellow,False,False,False,False,
30,2019-02-18,79.9,81.6,79.9,81.15,6220737,,79.7,0.6,yellow,False,False,False,False,
31,2019-02-19,81.6,81.9,80.3,81.4,4940492,,81.15,0.6,yellow,False,False,False,False,
32,2019-02-20,81.15,82.4,81.15,82.2,8117594,,81.4,0.6,yellow,True,False,False,False,
33,2019-02-21,81.4,82.2,81.0,81.8,5398804,,82.2,0.6,yellow,False,False,False,False,
34,2019-02-22,81.0,82.8,80.65,82.7,6979145,,81.8,0.6,yellow,False,False,False,False,
35,2019-02-25,82.7,83.4,81.7,82.25,6425440,,82.7,0.6,yellow,False,False,False,False,
36,2019-02-26,82.55,83.7,82.15,83.35,7219809,,82.25,0.6,yellow,False,False,False,False,
37,2019-02-27,83.6,84.85,83.3,84.7,8486894,,83.35,0.6,yellow,False,False,False,False,
38,2019-02-28,83.15,84.3,83.15,83.55,5996870,,84.7,0.6,yellow,False,False,False,False,
39,2019-03-01,83.05,84.0,83.05,83.5,4605070,,83.55,0.6,yellow,False,False,False,False,
40,2019-03-04,83.95,84.4,83.25,83.7,5493297,,83.5,0.6,yellow,False,False,False,False,
41,2019-03-05,83.0,83.15,82.0,82.0,6162493,,83.7,0.6,yellow,False,False,False,False,
42,2019-03-06,82.0,82.15,81.6,81.85,4285839,,82.0,0.6,yellow,False,False,False,False,
43,2019-03-07,81.65,82.25,81.2,81.4,5387368,,81.85,0.6,yellow,False,False,False,False,
44,2019-03-08,80.45,80.6,79.8,79.9,7392590,,81.4,0.6,yellow,False,False,False,False,
45,2019-03-11,79.8,80.1,79.0,79.75,6346336,,79.9,0.6,yellow,False,False,False,False,
46,2019-03-12,80.5,80.95,80.0,80.4,5218460,,79.75,0.6,yellow,False,False,False,False,
47,2019-03-13,80.2,80.55,79.6,80.0,4552371,,80.4,0.6,yellow,False,False,False,False,
48,2019-03-14,80.5,80.65,79.8,80.3,4008292,,80.0,0.6,yellow,False,False,False,False,
49,2019-03-15,80.5,81.75,80.05,80.9,6655025,2.3933590092041803,80.3,0.6,yellow,False,False,False,False,
50,2019-03-18,80.55,81.1,80.1,80.95,8473309,2.2698388417125526,80.9,0.6,yellow,False,False,False,False,
51,2019-03-19,80.9,81.15,80.2,80.45,7374338,2.0648617584798976,80.95,0.6,yellow,False,False,False,False,
52,2019-03-20,80.35,83.3,80.3,82.5,12419701,1.9744221577826007,80.45,0.6,green,True,False,False,False,
53,2019-03-21,83.35,83.5,81.6,81.6,12223826,1.879832819314386,82.5,0.6,yellow,False,False,False,False,
54,2019-03-22,83.05,84.65,82.85,83.8,13477978,1.8946544028192835,81.6,0.6,green,False,False,False,False,
55,2019-03-25,82.45,83.75,82.4,82.95,7995177,1.8795364170074473,83.8,0.6,yellow,False,False,False,False,
56,2019-03-26,83.0,84.05,82.2,83.0,4977482,1.8442918003662039,82.95,0.6,yellow,False,False,False,False,
57,2019-03-27,82.2,82.7,82.05,82.1,7567758,1.8100425634864807,83.0,0.6,yellow,False,False,False,False,
58,2019-03-28,81.2,82.5,81.2,82.5,7635489,1.7173187454486873,82.1,0.6,yellow,True,False,False,False,
59,2019-03-29,82.5,83.15,82.15,82.45,6946831,1.689542867772489,82.5,0.6,yellow,False,False,False,False,
60,2019-04-01,83.05,84.15,82.6,84.1,7299974,1.7112249461501556,82.45,0.6,green,False,False,False,False,
61,2019-04-02,84.05,85.3,83.55,85.0,6339089,1.7512094945715744,84.1,0.6,green,False,False,False,False,
62,2019-04-03,85.0,86.3,84.85,85.95,7568400,1.8519501580105187,85.0,0.6,green,False,False,False,False,
63,2019-04-04,85.85,85.9,85.05,85.6,5064829,1.9286087297980234,85.95,0.6,yellow,False,False,False,True,
64,2019-04-08,85.9,86.3,85.6,86.0,6741262,1.9754981288634386,85.6,0.6,yellow,False,False,False,False,
65,2019-04-09,85.6,86.45,85.5,86.2,5913309,2.043142088019535,86.0,0.6,yellow,False,False,False,False,
66,2019-04-10,85.1,85.8,84.5,85.35,5840791,2.089352013600098,86.2,0.6,yellow,False,False,False,False,
67,2019-04-11,84.65,85.4,83.6,84.3,5766180,2.1138030337063607,85.35,0.6,yellow,False,False,False,False,
68,2019-04-12,84.75,84.75,83.6,84.25,3690541,2.1070728801940075,84.3,0.6,yellow,False,False,False,False,
69,2019-04-15,85.05,85.4,83.7,83.75,6207898,2.0719959814002697,84.25,0.6,yellow,False,False,False,False,
70,2019-04-16,83.15,83.95,83.15,83.6,5400102,2.035823054738347,83.75,0.6,yellow,False,False,False,False,
71,2019-04-17,83.95,83.95,83.0,83.2,4313768,1.9852848970485502,83.6,0.6,yellow,False,False,False,False,
72,2019-04-18,83.2,83.45,82.5,82.8,3468784,1.9356296765905545,83.2,0.6,yellow,False,False,False,False,
