,date_time,open,high,low,close,volume,SD,sdClosingPrice,multiplier,color,bullish_engulfing,bearish_engulfing,bullish_harami,bearish_harami,buy_sell
0,2019-01-02,4.8,4.83,4.59,4.63,183543299,,,0.6,yellow,False,False,False,False,
1,2019-01-03,4.65,4.79,4.64,4.76,112858451,,4.63,0.6,yellow,False,False,True,False,
2,2019-01-04,4.73,4.92,4.73,4.88,109483505,,4.76,0.6,yellow,False,False,False,False,
3,2019-01-07,4.93,4.94,4.84,4.91,87491197,,4.88,0.6,yellow,False,False,False,False,
4,2019-01-08,4.92,4.98,4.85,4.95,80239063,,4.91,0.6,yellow,False,False,False,False,
5,2019-01-09,5.05,5.1,5.01,5.03,132605958,,4.95,0.6,yellow,False,False,False,False,
6,2019-01-10,5.04,5.1,5.02,5.03,92855124,,5.03,0.6,yellow,False,False,False,False,
7,2019-01-11,5.05,5.06,4.94,5.06,91682785,,5.03,0.6,yellow,False,False,False,False,
8,2019-01-14,4.98,5.0,4.86,4.9,97700124,,5.06,0.6,yellow,False,False,False,False,
9,2019-01-15,4.95,5.06,4.93,5.01,80706089,,4.9,0.6,yellow,False,False,False,False,
10,2019-01-16,5.01,5.05,4.97,5.01,65287383,,5.01,0.6,yellow,False,False,False,False,
11,2019-01-17,5.01,5.01,4.92,4.99,69177584,,5.01,0.6,yellow,False,False,False,False,
12,2019-01-18,5.04,5.08,5.0,5.05,74913333,,4.99,0.6,yellow,False,False,False,False,
13,2019-01-21,5.05,5.17,5.04,5.13,131964201,,5.05,0.6,yellow,False,False,False,False,
14,2019-01-22,5.16,5.19,4.94,4.96,156811981,,5.13,0.6,yellow,False,True,False,False,
15,2019-01-23,4.95,4.99,4.88,4.9,106465057,,4.96,0.6,yellow,False,False,False,False,
16,2019-01-24,4.91,4.98,4.89,4.95,62627959,,4.9,0.6,yellow,False,False,False,False,
17,2019-01-25,4.98,5.06,4.97,5.04,67463483,,4.95,0.6,yellow,False,False,False,False,
18,2019-01-28,5.01,5.07,4.96,4.99,70723974,,5.04,0.6,yellow,False,False,False,True,
19,2019-01-29,4.94,5.0,4.91,4.98,68872055,,4.99,0.6,yellow,False,False,False,False,
20,2019-01-30,5.01,5.01,4.93,4.98,88137789,,4.98,0.6,yellow,False,False,False,False,
21,2019-01-31,5.0,5.08,4.98,5.06,116816463,,4.98,0.6,yellow,False,False,False,False,
22,2019-02-01,5.08,5.1,5.04,5.07,68296916,,5.06,0.6,yellow,False,False,False,False,
23,2019-02-04,5.07,5.1,5.02,5.05,37259089,,5.07,0.6,yellow,False,False,False,False,
24,2019-02-08,4.94,4.98,4.91,4.96,101813082,,5.05,0.6,yellow,False,False,False,False,
25,2019-02-11,4.92,4.96,4.91,4.93,69401204,,4.96,0.6,yellow,False,False,False,False,
26,2019-02-12,4.88,4.94,4.88,4.92,98464939,,4.93,0.6,yellow,False,False,False,False,
27,2019-02-13,4.92,5.05,4.92,5.03,151496209,,4.92,0.6,yellow,False,False,False,False,
28,2019-02-14,4.99,5.05,4.98,5.04,77809107,,5.03,0.6,yellow,False,False,False,False,
29,2019-02-15,5.03,5.05,4.96,4.98,81809350,,5.04,0.6,yellow,False,False,False,False,
30,2019-02-18,5.05,5.25,5.03,5.21,236232133,,4.98,0.6,yellow,False,False,False,False,
31,2019-02-19,5.25,5.3,5.17,5.22,121631970,,5.21,0.6,yellow,False,False,False,False,
32,2019-02-20,5.25,5.3,5.25,5.29,100003419,,5.22,0.6,yellow,False,False,False,False,
33,2019-02-21,5.28,5.35,5.25,5.29,96185998,,5.29,0.6,yellow,False,False,False,False,
34,2019-02-22,5.24,5.33,5.21,5.32,82921220,,5.29,0.6,yellow,False,False,False,False,
35,2019-02-25,5.32,5.34,5.26,5.31,96546631,,5.32,0.6,yellow,False,False,False,False,
36,2019-02-26,5.29,5.31,5.21,5.28,82980127,,5.31,0.6,yellow,False,False,False,False,
37,2019-02-27,5.25,5.3,5.24,5.27,75496514,,5.28,0.6,yellow,False,False,False,False,
38,2019-02-28,5.25,5.27,5.19,5.19,98864257,,5.27,0.6,yellow,False,False,False,False,
39,2019-03-01,5.19,5.25,5.19,5.21,109510217,,5.19,0.6,yellow,False,False,False,False,
40,2019-03-04,5.16,5.26,5.15,5.18,120636642,,5.21,0.6,yellow,False,False,False,False,
41,2019-03-05,5.23,5.23,5.12,5.19,99042737,,5.18,0.6,yellow,False,False,False,False,
42,2019-03-06,5.2,5.2,5.13,5.16,67680007,,5.19,0.6,yellow,False,False,False,False,
43,2019-03-07,5.15,5.18,5.13,5.13,66134043,,5.16,0.6,yellow,False,False,False,False,
44,2019-03-08,5.07,5.1,5.01,5.03,160510787,,5.13,0.6,yellow,False,False,False,False,
45,2019-03-11,5.0,5.07,5.0,5.06,64658066,,5.03,0.6,yellow,False,False,False,False,
46,2019-03-12,5.12,5.17,5.09,5.12,168582379,,5.06,0.6,yellow,False,False,False,False,
47,2019-03-13,5.1,5.13,5.07,5.1,53615664,,5.12,0.6,yellow,False,False,False,False,
48,2019-03-14,5.12,5.19,5.11,5.12,71566563,,5.1,0.6,yellow,False,False,False,False,
49,2019-03-15,5.08,5.17,5.08,5.1,109712084,0.14126021725734267,5.12,0.6,yellow,False,False,False,False,
50,2019-03-18,5.13,5.26,5.12,5.23,134916141,0.12900941272414324,5.1,0.6,green,False,False,False,False,
51,2019-03-19,5.29,5.37,5.27,5.36,167359511,0.1273664166161251,5.23,0.6,green,False,False,False,False,
52,2019-03-20,5.37,5.46,5.29,5.38,138875021,0.1306723586154397,5.36,0.6,green,False,False,False,False,
53,2019-03-21,5.4,5.47,5.34,5.39,100670051,0.1345140915158189,5.38,0.6,green,False,False,False,False,
54,2019-03-22,5.41,5.46,5.19,5.28,147395846,0.134958950675183,5.39,0.6,yellow,False,False,False,False,
55,2019-03-25,5.15,5.17,5.05,5.08,137157453,0.1345432181532014,5.28,0.6,red,False,False,False,False,
56,2019-03-26,5.12,5.13,5.06,5.08,64513334,0.1341185890112436,5.08,0.6,red,False,False,False,False,
57,2019-03-27,5.1,5.16,5.09,5.11,56924847,0.13391377061072993,5.08,0.6,yellow,False,False,True,False,
