,date_time,open,high,low,close,volume,SD,sdClosingPrice,multiplier,color,bullish_engulfing,bearish_engulfing,bullish_harami,bearish_harami,buy_sell
0,2019-01-02,45.6,45.6,42.6,43.4,5552489,,,0.6,yellow,False,False,False,False,
1,2019-01-03,42.5,43.0,40.2,41.05,8013100,,43.4,0.6,yellow,False,False,False,False,
2,2019-01-04,40.4,40.75,39.4,40.75,7220230,,41.05,0.6,yellow,False,False,False,False,
3,2019-01-07,42.0,42.4,40.55,40.7,4955587,,40.75,0.6,yellow,False,False,False,False,
4,2019-01-08,41.4,42.3,40.3,42.15,5485749,,40.7,0.6,yellow,False,False,False,False,
5,2019-01-09,43.2,45.85,42.25,44.85,12723001,,42.15,0.6,yellow,False,False,False,False,
6,2019-01-10,43.5,45.8,43.4,44.0,8735628,,44.85,0.6,yellow,False,False,False,False,
7,2019-01-11,45.1,46.6,44.6,46.2,7623464,,44.0,0.6,yellow,False,False,False,False,
8,2019-01-14,46.2,46.4,44.65,45.65,5715132,,46.2,0.6,yellow,False,False,False,False,
9,2019-01-15,45.65,49.0,45.65,48.0,10525955,,45.65,0.6,yellow,False,False,False,False,
10,2019-01-16,47.95,47.95,46.2,46.35,6967362,,48.0,0.6,yellow,False,False,False,True,
11,2019-01-17,47.0,47.65,45.4,45.7,7130466,,46.35,0.6,yellow,False,False,False,False,
12,2019-01-18,46.0,48.4,46.0,48.2,8408563,,45.7,0.6,yellow,False,False,False,False,
13,2019-01-21,48.8,49.55,47.3,48.0,5790608,,48.2,0.6,yellow,False,False,False,False,
14,2019-01-22,48.15,48.15,45.1,45.55,5843133,,48.0,0.6,yellow,False,False,False,False,
15,2019-01-23,45.0,46.8,44.8,45.1,5456513,,45.55,0.6,yellow,False,False,False,False,
16,2019-01-24,45.0,46.85,44.8,46.85,4255644,,45.1,0.6,yellow,False,False,False,False,
17,2019-01-25,48.35,48.75,47.25,48.4,7256526,,46.85,0.6,yellow,False,False,False,False,
18,2019-01-28,49.65,50.1,47.3,47.75,5727409,,48.4,0.6,yellow,False,True,False,False,
19,2019-01-29,47.2,48.9,46.6,48.9,5053593,,47.75,0.6,yellow,False,False,False,False,
20,2019-01-30,50.5,50.7,47.05,47.9,7118864,,48.9,0.6,yellow,False,False,False,False,
21,2019-01-31,49.2,49.4,47.55,48.5,5620966,,47.9,0.6,yellow,False,False,False,False,
22,2019-02-01,48.95,49.05,47.5,47.75,3947095,,48.5,0.6,yellow,False,False,False,False,
23,2019-02-04,48.0,48.3,46.8,47.0,3599607,,47.75,0.6,yellow,False,False,False,False,
24,2019-02-08,46.05,48.65,46.05,48.4,5616663,,47.0,0.6,yellow,True,False,False,False,
25,2019-02-11,48.1,51.55,48.0,50.85,15657032,,48.4,0.6,yellow,False,False,False,False,
26,2019-02-12,51.0,51.0,49.6,50.25,7897982,,50.85,0.6,yellow,False,False,False,False,
27,2019-02-13,50.9,56.5,50.5,56.2,25477692,,50.25,0.6,yellow,False,False,False,False,
28,2019-02-14,55.7,56.15,53.2,54.6,13324325,,56.2,0.6,yellow,False,False,False,True,
29,2019-02-15,54.0,54.0,51.3,51.7,9640522,,54.6,0.6,yellow,False,False,False,False,
30,2019-02-18,52.5,53.75,51.9,52.7,7520705,,51.7,0.6,yellow,False,False,True,False,
31,2019-02-19,53.1,53.2,50.5,50.8,7732828,,52.7,0.6,yellow,False,True,False,False,
32,2019-02-20,51.5,52.35,50.75,51.85,7391708,,50.8,0.6,yellow,False,False,True,False,
33,2019-02-21,51.55,54.85,51.45,53.25,9770786,,51.85,0.6,yellow,False,False,False,False,
34,2019-02-22,53.5,59.65,53.05,59.6,22323911,,53.25,0.6,yellow,False,False,False,False,
35,2019-02-25,63.0,63.95,58.4,58.75,22825914,,59.6,0.6,yellow,False,False,False,False,
36,2019-02-26,53.0,53.7,50.3,50.5,39913328,,58.75,0.6,yellow,False,False,False,False,
37,2019-02-27,50.0,50.3,46.55,48.0,25550151,,50.5,0.6,yellow,False,False,False,False,
38,2019-02-28,47.7,48.95,46.2,46.65,15918335,,48.0,0.6,yellow,False,False,False,False,
39,2019-03-01,47.0,47.55,45.55,47.1,12245527,,46.65,0.6,yellow,False,False,True,False,
40,2019-03-04,47.5,50.3,46.5,49.05,15467740,,47.1,0.6,yellow,False,False,False,False,
41,2019-03-05,48.75,50.15,48.05,49.5,7697092,,49.05,0.6,yellow,False,False,False,False,
42,2019-03-06,49.8,52.15,49.2,51.4,14620154,,49.5,0.6,yellow,False,False,False,False,
43,2019-03-07,51.9,51.95,49.0,49.4,9610776,,51.4,0.6,yellow,False,True,False,False,
44,2019-03-08,49.4,49.5,47.25,47.6,11514855,,49.4,0.6,yellow,False,False,False,False,
45,2019-03-11,47.3,48.0,46.7,47.25,9773344,,47.6,0.6,yellow,False,False,False,False,
