,date_time,open,high,low,close,volume,SD,sdClosingPrice,multiplier,color,bullish_engulfing,bearish_engulfing,bullish_harami,bearish_harami,buy_sell
0,2019-01-02,64.8,64.85,63.2,63.3,18887996,,,0.6,yellow,False,False,False,False,
1,2019-01-03,63.3,63.75,63.05,63.25,10324886,,63.3,0.6,yellow,False,False,False,False,
2,2019-01-04,63.3,64.4,63.05,64.35,11338138,,63.25,0.6,yellow,False,False,False,False,
3,2019-01-07,65.25,65.35,64.6,64.9,14346790,,64.35,0.6,yellow,False,False,False,False,
4,2019-01-08,64.6,64.9,64.15,64.75,10578424,,64.9,0.6,yellow,False,False,False,False,
5,2019-01-09,65.2,66.0,64.95,65.5,25771115,,64.75,0.6,yellow,False,False,False,False,
6,2019-01-10,64.75,65.2,64.35,64.8,20936553,,65.5,0.6,yellow,False,False,False,False,
7,2019-01-11,65.15,65.75,64.9,65.4,13232930,,64.8,0.6,yellow,False,False,False,False,
8,2019-01-14,64.8,65.2,64.5,64.55,12175907,,65.4,0.6,yellow,False,False,False,False,
9,2019-01-15,64.85,65.35,64.55,65.1,16785749,,64.55,0.6,yellow,False,False,False,False,
10,2019-01-16,64.7,65.3,64.4,65.15,13220098,,65.1,0.6,yellow,False,False,False,False,
11,2019-01-17,65.0,65.45,64.9,65.15,11578113,,65.15,0.6,yellow,False,False,False,False,
12,2019-01-18,65.5,65.5,65.1,65.35,11975386,,65.15,0.6,yellow,False,False,False,False,
13,2019-01-21,65.6,65.9,65.25,65.35,14960914,,65.35,0.6,yellow,False,False,False,False,
14,2019-01-22,65.6,65.8,65.05,65.1,10094181,,65.35,0.6,yellow,False,False,False,False,
15,2019-01-23,64.8,65.5,64.8,64.95,12514956,,65.1,0.6,yellow,False,False,False,False,
16,2019-01-24,65.25,65.45,65.0,65.3,9811576,,64.95,0.6,yellow,False,False,False,False,
17,2019-01-25,65.1,65.9,65.05,65.9,19606418,,65.3,0.6,yellow,False,False,False,False,
18,2019-01-28,65.9,66.3,65.8,65.85,13132536,,65.9,0.6,yellow,False,False,False,False,
19,2019-01-29,65.45,66.1,65.45,65.95,20657393,,65.85,0.6,yellow,True,False,False,False,
20,2019-01-30,66.45,66.5,65.95,66.3,13455260,,65.95,0.6,yellow,False,False,False,False,
