,date_time,open,high,low,close,volume,SD,sdClosingPrice,multiplier,color,bullish_engulfing,bearish_engulfing,bullish_harami,bearish_harami,buy_sell
0,2019-01-02,5.57,5.59,5.39,5.43,215425385,,,0.6,yellow,False,False,False,False,
1,2019-01-03,5.42,5.46,5.39,5.44,154966670,,5.43,0.6,yellow,False,False,False,False,
2,2019-01-04,5.41,5.53,5.4,5.52,165948892,,5.44,0.6,yellow,False,False,False,False,
3,2019-01-07,5.61,5.62,5.5,5.54,154910388,,5.52,0.6,yellow,False,False,False,False,
4,2019-01-08,5.53,5.56,5.5,5.52,184712391,,5.54,0.6,yellow,False,False,False,False,
5,2019-01-09,5.6,5.73,5.58,5.69,291861580,,5.52,0.6,yellow,False,False,False,False,
6,2019-01-10,5.63,5.71,5.61,5.69,181423246,,5.69,0.6,yellow,False,False,False,False,
7,2019-01-11,5.73,5.73,5.67,5.71,179539948,,5.69,0.6,yellow,False,False,False,False,
8,2019-01-14,5.68,5.71,5.58,5.63,170797188,,5.71,0.6,yellow,False,False,False,False,
9,2019-01-15,5.67,5.71,5.65,5.7,203331658,,5.63,0.6,yellow,False,False,False,False,
10,2019-01-16,5.69,5.72,5.64,5.71,164493733,,5.7,0.6,yellow,False,False,False,False,
11,2019-01-17,5.68,5.72,5.64,5.68,313706760,,5.71,0.6,yellow,False,False,False,False,
12,2019-01-18,5.7,5.78,5.7,5.76,185095822,,5.68,0.6,yellow,False,False,False,False,
13,2019-01-21,5.75,5.84,5.75,5.84,187399289,,5.76,0.6,yellow,False,False,False,False,
14,2019-01-22,5.84,5.85,5.77,5.8,225010538,,5.84,0.6,yellow,False,False,False,False,
15,2019-01-23,5.82,5.85,5.8,5.82,189689490,,5.8,0.6,yellow,False,False,False,False,
16,2019-01-24,5.85,5.85,5.79,5.84,184079065,,5.82,0.6,yellow,False,False,False,False,
17,2019-01-25,5.9,5.99,5.87,5.97,368635455,,5.84,0.6,yellow,False,False,False,False,
18,2019-01-28,5.99,6.03,5.93,5.95,189215573,,5.97,0.6,yellow,False,False,False,False,
19,2019-01-29,5.95,5.98,5.89,5.95,225964956,,5.95,0.6,yellow,False,False,False,False,
20,2019-01-30,5.92,5.98,5.87,5.98,232221958,,5.95,0.6,yellow,False,False,False,False,
21,2019-01-31,6.0,6.08,5.98,6.06,263517641,,5.98,0.6,yellow,False,False,False,False,
22,2019-02-01,6.09,6.1,5.99,6.02,175642569,,6.06,0.6,yellow,False,False,False,False,
23,2019-02-04,5.97,6.0,5.92,5.97,116734890,,6.02,0.6,yellow,False,False,False,False,
24,2019-02-08,5.87,5.96,5.82,5.94,189159727,,5.97,0.6,yellow,False,False,False,False,
25,2019-02-11,5.94,5.98,5.9,5.94,183386161,,5.94,0.6,yellow,False,False,False,False,
26,2019-02-12,5.95,5.96,5.89,5.94,170161169,,5.94,0.6,yellow,False,False,False,False,
27,2019-02-13,5.91,6.03,5.87,5.98,250447504,,5.94,0.6,yellow,True,False,False,False,
28,2019-02-14,6.0,6.0,5.93,5.96,160389057,,5.98,0.6,yellow,False,False,False,False,
29,2019-02-15,5.92,5.96,5.8,5.82,205967479,,5.96,0.6,yellow,False,False,False,False,
30,2019-02-18,5.9,5.97,5.87,5.91,184815826,,5.82,0.6,yellow,False,False,True,False,
31,2019-02-19,5.94,5.95,5.87,5.89,188805838,,5.91,0.6,yellow,False,True,False,False,
32,2019-02-20,5.95,6.0,5.88,5.93,204525604,,5.89,0.6,yellow,False,False,False,False,
33,2019-02-21,5.97,5.97,5.91,5.96,237506237,,5.93,0.6,yellow,False,False,False,False,
34,2019-02-22,5.89,5.97,5.88,5.97,202068452,,5.96,0.6,yellow,False,False,False,False,
35,2019-02-25,6.0,6.18,5.98,6.16,524335409,,5.97,0.6,yellow,False,False,False,False,
36,2019-02-26,6.17,6.19,6.03,6.06,412589361,,6.16,0.6,yellow,False,False,False,False,
37,2019-02-27,6.13,6.14,6.02,6.05,299387944,,6.06,0.6,yellow,False,False,False,False,
38,2019-02-28,6.02,6.08,5.99,6.04,248540962,,6.05,0.6,yellow,False,False,False,False,
39,2019-03-01,6.05,6.05,5.98,6.03,254689087,,6.04,0.6,yellow,False,False,False,False,
40,2019-03-04,5.98,6.13,5.98,6.05,313772664,,6.03,0.6,yellow,False,False,False,False,
41,2019-03-05,6.02,6.12,5.98,6.06,293804712,,6.05,0.6,yellow,False,False,False,False,
42,2019-03-06,6.03,6.1,6.01,6.08,221933582,,6.06,0.6,yellow,False,False,False,False,
43,2019-03-07,6.05,6.11,6.04,6.07,159923870,,6.08,0.6,yellow,False,False,False,False,
44,2019-03-08,6.0,6.01,5.88,5.88,451712402,,6.07,0.6,yellow,False,False,False,False,
45,2019-03-11,5.94,5.94,5.85,5.91,191784275,,5.88,0.6,yellow,False,False,False,False,
46,2019-03-12,5.93,6.07,5.91,6.01,278797803,,5.91,0.6,yellow,False,False,False,False,
47,2019-03-13,6.0,6.01,5.95,5.97,105050730,,6.01,0.6,yellow,False,False,False,True,
48,2019-03-14,5.98,5.99,5.9,5.97,132063742,,5.97,0.6,yellow,False,False,False,False,
49,2019-03-15,5.99,6.06,5.96,5.97,220203602,0.17879654381903617,5.97,0.6,yellow,False,False,False,False,
50,2019-03-18,5.98,6.05,5.97,6.03,153774489,0.1681084441055586,5.97,0.6,yellow,False,False,False,False,
51,2019-03-19,6.04,6.07,6.01,6.04,164927090,0.15653662282582365,6.03,0.6,yellow,False,False,False,False,
52,2019-03-20,6.0,6.05,6.0,6.0,150483803,0.14723644735109348,6.04,0.6,yellow,False,False,False,False,
53,2019-03-21,6.04,6.05,5.97,5.97,137687622,0.13747816153105588,6.0,0.6,yellow,False,False,False,False,
54,2019-03-22,6.03,6.03,5.91,5.96,201534965,0.1250266910279068,5.97,0.6,yellow,False,False,False,False,
55,2019-03-25,5.88,5.89,5.8,5.82,282272568,0.12130666149247082,5.96,0.6,red,False,False,False,False,
56,2019-03-26,5.85,5.86,5.77,5.8,235664053,0.11783142576562125,5.82,0.6,red,False,False,False,False,
57,2019-03-27,5.8,5.85,5.79,5.81,217054988,0.11481022495885099,5.8,0.6,red,False,False,False,False,
58,2019-03-28,5.78,5.8,5.74,5.8,240565868,0.10796087726768477,5.81,0.6,red,False,False,False,False,
59,2019-03-29,5.8,5.84,5.74,5.75,418511989,0.10593721667832771,5.8,0.6,red,False,False,False,False,
60,2019-04-01,5.83,5.94,5.81,5.91,300156472,0.10082030893563797,5.75,0.6,yellow,False,False,False,False,
61,2019-04-02,5.98,5.99,5.89,5.9,167164238,0.09372125409632374,5.91,0.6,yellow,False,False,False,False,buy
62,2019-04-03,5.95,5.96,5.89,5.94,198902761,0.08980614042003349,5.9,0.6,yellow,False,False,False,False,
63,2019-04-04,5.94,5.98,5.91,5.94,205033926,0.08841830081135502,5.94,0.6,yellow,False,False,False,False,
64,2019-04-08,5.94,6.0,5.94,5.96,270687809,0.08567237070398336,5.94,0.6,yellow,False,False,False,False,
65,2019-04-09,5.95,5.95,5.9,5.91,322623862,0.08370526523804439,5.96,0.6,yellow,False,False,False,False,
66,2019-04-10,5.87,5.89,5.84,5.86,350605791,0.08318285733912952,5.91,0.6,red,False,False,False,False,
67,2019-04-11,5.83,5.86,5.8,5.83,233231762,0.08507115868974782,5.86,0.6,red,False,False,False,False,
68,2019-04-12,5.8,5.87,5.79,5.87,171132614,0.08590003682496616,5.83,0.6,red,False,False,False,False,
69,2019-04-15,5.89,5.97,5.84,5.85,222904663,0.0871173264708491,5.87,0.6,red,False,False,False,False,
70,2019-04-16,5.83,6.04,5.82,6.03,366978667,0.08774638779703987,5.85,0.6,yellow,True,False,False,False,
71,2019-04-17,6.04,6.08,6.01,6.06,243861384,0.08774638779703987,6.03,0.6,yellow,False,False,False,False,
72,2019-04-18,6.03,6.06,5.97,6.0,144133445,0.08747337787426887,6.06,0.6,red,False,False,False,False,
73,2019-04-23,5.94,5.97,5.9,5.95,179525508,0.0874313725041482,6.0,0.6,red,False,False,False,False,
74,2019-04-24,5.94,5.96,5.87,5.9,174680657,0.08771475104576394,5.95,0.6,red,False,False,False,False,
75,2019-04-25,5.87,5.9,5.84,5.86,179991814,0.08862578976937151,5.9,0.6,red,False,False,False,False,
76,2019-04-26,5.84,5.89,5.84,5.87,110656863,0.08931142486963714,5.86,0.6,red,False,False,False,False,
77,2019-04-29,5.87,5.94,5.86,5.91,157178851,0.08933221646169497,5.87,0.6,red,False,False,False,False,
78,2019-04-30,5.86,5.92,5.85,5.89,158759016,0.08964988589405046,5.91,0.6,red,False,False,False,False,
79,2019-05-02,5.87,5.92,5.87,5.9,137199464,0.08808831375618509,5.89,0.6,red,False,False,False,False,
80,2019-05-03,5.86,5.91,5.82,5.91,157528551,0.08808831375618509,5.9,0.6,red,False,False,False,False,
