,date_time,open,high,low,close,volume,SD,sdClosingPrice,multiplier,color,bullish_engulfing,bearish_engulfing,bullish_harami,bearish_harami,buy_sell
0,2019-01-02,12.1,12.16,11.72,11.84,17145772,,,0.6,yellow,False,False,False,False,
1,2019-01-03,11.84,12.18,11.84,12.14,15704783,,11.84,0.6,yellow,False,False,False,False,
2,2019-01-04,12.1,12.4,12.04,12.36,16198811,,12.14,0.6,yellow,False,False,False,False,
3,2019-01-07,12.68,12.68,12.3,12.32,12601062,,12.36,0.6,yellow,False,False,False,False,
4,2019-01-08,12.36,12.5,12.26,12.28,14508738,,12.32,0.6,yellow,False,False,False,False,
5,2019-01-09,12.54,12.64,12.42,12.48,23858771,,12.28,0.6,yellow,False,False,False,False,
6,2019-01-10,12.48,12.6,12.44,12.5,16084203,,12.48,0.6,yellow,False,False,False,False,
7,2019-01-11,12.54,12.66,12.36,12.4,28975741,,12.5,0.6,yellow,False,True,False,False,
8,2019-01-14,12.34,12.52,12.12,12.18,19913370,,12.4,0.6,yellow,False,False,False,False,
9,2019-01-15,12.32,12.4,12.18,12.28,12349787,,12.18,0.6,yellow,False,False,False,False,
10,2019-01-16,12.22,12.28,12.12,12.2,23683113,,12.28,0.6,yellow,False,False,False,False,
11,2019-01-17,12.14,12.14,11.8,11.8,25261000,,12.2,0.6,yellow,False,False,False,False,
12,2019-01-18,11.94,11.96,11.84,11.88,14102163,,11.8,0.6,yellow,False,False,False,False,
13,2019-01-21,11.8,11.96,11.8,11.92,8881567,,11.88,0.6,yellow,False,False,False,False,
14,2019-01-22,11.98,12.0,11.76,11.84,8916321,,11.92,0.6,yellow,False,False,False,False,
15,2019-01-23,11.94,12.02,11.76,11.82,13997783,,11.84,0.6,yellow,False,False,False,False,
16,2019-01-24,11.9,12.0,11.8,11.86,18458583,,11.82,0.6,yellow,False,False,False,False,
17,2019-01-25,11.88,12.02,11.88,11.96,11108000,,11.86,0.6,yellow,False,False,False,False,
18,2019-01-28,12.06,12.06,11.74,11.8,13803978,,11.96,0.6,yellow,False,True,False,False,
19,2019-01-29,11.9,11.94,11.76,11.8,13907250,,11.8,0.6,yellow,False,False,False,False,
20,2019-01-30,11.92,11.92,11.74,11.76,12537551,,11.8,0.6,yellow,False,False,False,False,
21,2019-01-31,11.76,11.92,11.74,11.86,11484306,,11.76,0.6,yellow,False,False,False,False,
22,2019-02-01,11.96,11.96,11.76,11.82,7473454,,11.86,0.6,yellow,False,False,False,False,
23,2019-02-04,11.82,11.82,11.6,11.68,6917427,,11.82,0.6,yellow,False,False,False,False,
24,2019-02-08,11.48,11.64,11.38,11.56,12200094,,11.68,0.6,yellow,False,False,False,False,
25,2019-02-11,11.54,11.68,11.48,11.6,6370642,,11.56,0.6,yellow,False,False,False,False,
26,2019-02-12,11.54,11.64,11.42,11.6,7156329,,11.6,0.6,yellow,False,False,False,False,
27,2019-02-13,11.58,11.82,11.58,11.72,10753903,,11.6,0.6,yellow,False,False,False,False,
28,2019-02-14,11.82,11.9,11.74,11.82,9989604,,11.72,0.6,yellow,False,False,False,False,
29,2019-02-15,11.88,11.9,11.7,11.74,10435296,,11.82,0.6,yellow,False,False,False,False,
30,2019-02-18,11.92,11.94,11.82,11.86,9977954,,11.74,0.6,yellow,False,False,False,False,
31,2019-02-19,11.94,11.98,11.8,11.82,6563477,,11.86,0.6,yellow,False,False,False,False,
32,2019-02-20,11.86,11.9,11.76,11.84,12547710,,11.82,0.6,yellow,False,False,False,False,
33,2019-02-21,11.92,11.98,11.82,11.94,9806040,,11.84,0.6,yellow,False,False,False,False,
34,2019-02-22,11.96,12.04,11.84,12.04,12618147,,11.94,0.6,yellow,False,False,False,False,
35,2019-02-25,12.06,12.14,11.96,12.06,13833004,,12.04,0.6,yellow,False,False,False,False,
36,2019-02-26,12.14,12.24,12.08,12.1,15164245,,12.06,0.6,yellow,False,False,False,False,
37,2019-02-27,12.22,12.22,12.02,12.06,12754194,,12.1,0.6,yellow,False,False,False,False,
38,2019-02-28,11.9,12.06,11.86,11.94,13268294,,12.06,0.6,yellow,False,False,False,False,
39,2019-03-01,12.0,12.02,11.86,11.96,11636621,,11.94,0.6,yellow,False,False,False,False,
40,2019-03-04,12.06,12.14,11.84,11.96,12025701,,11.96,0.6,yellow,False,False,False,False,
41,2019-03-05,12.0,12.0,11.8,11.94,9964821,,11.96,0.6,yellow,False,False,False,False,
42,2019-03-06,11.82,11.96,11.82,11.96,13280620,,11.94,0.6,yellow,False,False,False,False,
43,2019-03-07,11.98,12.02,11.88,11.94,9043889,,11.96,0.6,yellow,False,False,False,False,
44,2019-03-08,11.7,11.82,11.7,11.8,31547957,,11.94,0.6,yellow,False,False,False,False,
45,2019-03-11,11.64,11.92,11.64,11.84,10682200,,11.8,0.6,yellow,False,False,False,False,
46,2019-03-12,11.94,11.98,11.82,11.9,17388087,,11.84,0.6,yellow,False,False,False,False,
47,2019-03-13,11.8,11.9,11.7,11.76,12928240,,11.9,0.6,yellow,False,False,False,False,
48,2019-03-14,11.82,11.82,11.6,11.74,9429962,,11.76,0.6,yellow,False,False,False,False,
49,2019-03-15,11.64,11.78,11.6,11.78,23816491,0.22418687540094956,11.74,0.6,yellow,False,False,False,False,
50,2019-03-18,11.72,11.9,11.66,11.88,13051774,0.223889550029127,11.78,0.6,yellow,False,False,False,False,
51,2019-03-19,11.9,11.92,11.76,11.84,11284910,0.22249054095922055,11.88,0.6,yellow,False,False,False,False,
52,2019-03-20,11.98,11.98,11.74,11.76,12541282,0.2152170238316171,11.84,0.6,yellow,False,False,False,False,
53,2019-03-21,11.86,11.86,11.64,11.72,11824561,0.20933324667444803,11.76,0.6,yellow,False,False,False,False,
54,2019-03-22,11.88,11.88,11.6,11.7,13812544,0.20453990180053233,11.72,0.6,yellow,False,False,False,False,
55,2019-03-25,11.68,11.68,11.46,11.52,11072000,0.19379812766307683,11.7,0.6,red,False,False,False,False,
56,2019-03-26,11.7,11.7,11.42,11.5,11352240,0.1797235973058945,11.52,0.6,red,False,False,False,False,
57,2019-03-27,11.4,11.52,11.4,11.46,8277315,0.17117314303931885,11.5,0.6,red,False,False,False,False,
58,2019-03-28,11.4,11.7,11.4,11.56,11414672,0.1686561530427622,11.46,0.6,red,False,False,False,False,
59,2019-03-29,11.5,11.78,11.34,11.72,16951267,0.15630477815303462,11.56,0.6,yellow,False,False,False,False,
60,2019-04-01,11.92,12.06,11.84,11.88,25785477,0.14662961807888325,11.72,0.6,green,False,False,False,False,buy
61,2019-04-02,11.92,12.28,11.9,12.06,37793101,0.1507337157414508,11.88,0.6,green,False,False,False,False,
62,2019-04-03,12.12,12.2,12.0,12.1,36187164,0.15572083865634917,12.06,0.6,green,False,False,False,False,
63,2019-04-04,12.14,12.2,11.96,12.02,31633300,0.15763559113295683,12.1,0.6,yellow,False,False,False,False,
